n,degree,count
1000,2,1
1000,4,1
1000,5,4
1000,6,11
1000,7,16
1000,8,32
1000,9,44
1000,10,82
1000,11,99
1000,12,98
1000,13,98
1000,14,82
1000,15,115
1000,16,80
1000,17,73
1000,18,55
1000,19,36
1000,20,26
1000,21,15
1000,22,16
1000,23,2
1000,24,7
1000,25,2
1000,26,2
1000,27,1
1000,28,1
1000,29,1
10000,4,2
10000,5,1
10000,6,8
10000,7,18
10000,8,28
10000,9,74
10000,10,125
10000,11,202
10000,12,325
10000,13,473
10000,14,585
10000,15,702
10000,16,842
10000,17,868
10000,18,965
10000,19,871
10000,20,830
10000,21,751
10000,22,632
10000,23,460
10000,24,386
10000,25,288
10000,26,194
10000,27,131
10000,28,94
10000,29,62
10000,30,37
10000,31,19
10000,32,10
10000,33,7
10000,34,5
10000,35,1
10000,36,2
10000,37,1
10000,41,1
100000,5,1
100000,6,2
100000,7,8
100000,8,17
100000,9,58
100000,10,150
100000,11,245
100000,12,449
100000,13,877
100000,14,1356
100000,15,2036
100000,16,2958
100000,17,4092
100000,18,5238
100000,19,6385
100000,20,7366
100000,21,7859
100000,22,8420
100000,23,8210
100000,24,7789
100000,25,7317
100000,26,6408
100000,27,5549
100000,28,4477
100000,29,3548
100000,30,2740
100000,31,2103
100000,32,1486
100000,33,1031
100000,34,678
100000,35,453
100000,36,275
100000,37,182
100000,38,107
100000,39,64
100000,40,31
100000,41,18
100000,42,5
100000,43,7
100000,44,3
100000,45,1
100000,48,1
